total_of_tweets,no_of_followers,no_of_followees,age_of_account,no_of_favorite,aver_favou_per_day,aver_tweets_per_day,user_name_len,is_post_at_hol,is_post_at_noon,is_post_at_eve,is_post_at_weekend,contain_location,contain_org,contain_tvshow,sentiment_level,contain_video,contain_picture,contain_upper,contain_number,contain_excl,con_user_mentioned,contain_url,contain_hashtag,opt_length,len_of_text,status_retweet
43343,1551,1785,1497,0,0.0,1.0,7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,122,1
164982,10050,9967,3116,0,0.0,1.0,12,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,206,1
16775,10923,10567,533,0,0.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,145,1
55,2,337,83,0,0.0,1.0,9,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,302,1
35,0,12,762,0,0.0,1.0,15,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,132,0
96229,26422,1963,3722,0,0.0,1.0,11,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,159,0
24,1,34,79,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,145,0
23467,2290,1658,911,0,0.0,1.0,9,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,291,1
139074,457,1021,780,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,256,1
426,3,31,211,0,0.0,1.0,9,0,0,0,1,1,0,0,2,0,0,1,1,0,1,0,0,0,153,0
110515,11192,9613,1132,0,0.0,1.0,13,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,328,1
50206,79,99,675,0,0.0,1.0,15,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,286,1
23467,2290,1658,911,0,0.0,1.0,9,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,215,1
29278,72,145,170,0,0.0,1.0,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,214,0
23798,650,1413,5075,0,0.0,1.0,14,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,327,1
188438,1593,856,5005,0,0.0,1.0,6,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,135,1
25651,58,59,146,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,196,0
46178,1069,1176,1150,0,0.0,1.0,12,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,297,1
7,1,58,24,0,0.0,1.0,8,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,44,0
0,2,9,575,0,0.0,1.0,15,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,71,0
16391,449,371,4029,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,158,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,236,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,171,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,210,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,280,0
156727,18835,5133,4200,1,1.0,1.0,12,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,286,0
25809,67,105,151,0,0.0,1.0,15,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,202,0
1851,112,45,232,0,0.0,1.0,8,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,100,1
60840,487,451,1619,0,0.0,1.0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,64,0
2584,13,177,2473,0,0.0,1.0,13,0,0,0,1,0,1,0,2,0,0,1,1,0,1,0,0,0,290,0
23753,1406,1389,352,0,0.0,1.0,6,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,320,1
24,0,5,41,0,0.0,1.0,15,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,296,1
218,395,2665,1677,0,0.0,1.0,7,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,289,1
13938,404,550,416,0,0.0,1.0,9,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,239,0
95,5,49,720,0,0.0,1.0,12,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,273,0
1130,26,90,1202,0,0.0,1.0,8,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,304,1
25809,67,105,151,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,188,0
330002,203993,36,2287,1,2.25,1.0,13,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,76,0
5535,366,472,1941,0,0.0,1.0,12,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,321,1
29351,319,175,925,0,0.375,1.0,13,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,122,1
2533,443,1608,532,0,0.0,1.0,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,261,0
5558,116,247,5096,0,0.0,1.0,13,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,326,1
1030,4,171,200,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,62,0
6965,1453,1417,4198,0,0.0,1.0,14,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,279,1
8766,536,370,667,0,0.0,1.0,10,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,114,0
270,33,18,109,0,0.0,1.0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,262,0
3999,16679,10491,882,0,0.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,307,1
15617,124,202,1096,0,0.0,1.0,11,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,57,0
7873,34,61,194,0,0.0,1.0,15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,97,0
51277,479,30,4883,0,0.0,1.0,11,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,140,1
3945,45,221,5123,0,0.0,1.0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,33,0
1982329,2017033,39,5240,2,4.5,1.0,15,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,103,0
8339,159,700,3217,0,0.0,1.0,9,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,269,0
7,0,17,262,0,0.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,120,1
11943,107,222,3531,0,0.0,1.0,14,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,133,0
112,4,17,2253,0,0.0,1.0,10,0,0,0,1,1,1,0,2,0,0,1,1,0,1,0,0,0,236,0
437,42,14,118,0,0.0,2.0,10,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,297,0
437,42,14,118,0,0.0,2.0,10,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
679,23,177,110,0,0.0,1.0,11,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,221,0
296535,7471,7580,4972,0,0.0,1.0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,154,1
4519,1447,1476,709,0,0.0,1.0,11,0,0,0,1,0,1,0,2,0,0,1,0,0,1,1,1,0,292,1
349012,33574,18622,1385,0,0.0,1.0,8,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,303,1
12542,390,406,2351,0,0.0,1.0,12,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,242,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,209,0
5260,550,569,198,0,0.0,1.0,11,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,87,0
405,17,373,4148,0,0.0,1.0,9,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,59,0
190,18,105,2295,0,0.0,1.0,10,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,299,1
62543,7137,7151,2777,0,0.0,1.0,8,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,301,1
1932,102,98,552,2,2.0,1.0,11,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,151,0
2633,17,94,197,0,0.0,1.0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,133,0
2012,16,78,3964,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,186,0
4,1,18,348,0,0.0,1.0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,98,0
7126,653,1170,2203,0,0.8,1.0,13,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,253,0
103931,7024,7333,1104,0,0.0,1.0,10,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,303,1
31260,1635,546,4848,0,0.0,1.0,6,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,272,1
4640,142,343,63,0,0.14285714285714285,1.0,15,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,115,0
55567,652,698,3576,0,0.0,1.0,8,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,228,0
28880,176,508,2837,0,0.0,1.0,7,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,275,0
1059,72,319,1521,0,0.0,1.0,9,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,308,1
4640,142,343,63,0,0.14285714285714285,1.0,15,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,107,0
1984,288,334,1062,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,103,0
50506,2047,1030,3365,0,0.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,219,1
31260,1635,546,4848,0,0.0,1.0,6,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,294,1
16,0,29,192,0,0.0,1.0,10,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,303,1
12649,7182,3161,699,0,0.0,1.0,6,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,325,1
213,242,465,1155,0,0.5,1.0,9,0,0,0,1,1,0,0,2,0,0,1,1,0,1,0,0,0,108,0
17951,119,269,199,0,0.0,1.0,12,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,302,1
319,1390,1581,303,0,0.0,1.0,8,0,0,0,1,1,1,0,2,0,0,1,0,0,1,0,0,1,83,0
271,27,23,880,0,0.0,1.0,13,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,272,0
2022,309,323,207,0,0.0,1.0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,224,0
18522,227,290,849,0,0.0,1.0,12,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,217,1
388716,34,17,313,0,0.0,1.0,15,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,78,1
276,8,17,256,0,0.0,1.0,13,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,272,0
4459,180,53,4289,0,1.0,1.0,11,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,268,0
23148,1526,3653,1596,1,1.0,1.0,14,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,302,0
8466,713,389,596,1,2.0,1.0,15,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,279,0
20473,329,877,4558,0,0.0,1.0,8,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,272,1
23753,1406,1389,352,0,0.0,1.0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,121,1
265,8,12,880,0,0.0,1.0,10,0,0,0,1,0,1,0,2,0,0,1,1,0,0,1,1,0,272,0
2796,2725,2963,2743,0,0.0,1.0,14,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,249,1
4640,142,343,63,0,0.14285714285714285,1.0,15,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,119,0
405,17,373,4148,0,0.0,1.0,9,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,107,0
4,0,20,9,0,0.0,1.0,14,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,211,0
3011,52,296,3153,0,0.0,1.0,8,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,271,0
4640,142,343,63,0,0.14285714285714285,1.0,15,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,144,0
26098,165,132,145,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,206,0
153,0,3,4600,0,0.0,1.0,12,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,111,0
48312,12028,7549,1238,1,4.0,1.0,12,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,99,0
20070,196,134,4694,0,0.5,1.0,10,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,222,1
9537,940,1327,206,0,0.0,1.0,14,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1,1,0,281,1
9537,940,1327,206,0,0.0,1.0,14,0,0,0,1,1,1,0,2,0,0,1,1,0,1,1,1,0,256,1
172354,3242,4852,1635,0,1.0,1.0,11,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,181,1
263316,15586,14645,2825,0,0.0,1.0,12,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,236,1
5130,4,92,5020,0,1.3333333333333333,1.0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,132,0
19148,3354,3554,5189,0,0.625,1.0,9,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,306,0
1181,1622,291,3440,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,206,0
40763,3153,5000,192,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,379,1
23836,938,684,4467,0,0.0,1.0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,70,0
142,101,0,2241,0,0.0,1.0,9,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,87,0
122,188,258,2253,0,0.0,1.0,8,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,77,0
1390,3823,3218,336,0,0.0,1.0,13,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,244,1
11169,39,163,5047,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,148,0
25838,62,127,145,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,191,0
40763,3153,5000,192,0,0.0,1.0,8,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,144,1
216158,666,2488,5024,0,0.0,1.0,7,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,209,1
22426,926,1511,540,0,0.0,1.0,14,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,155,1
256,1,32,290,0,0.0,1.0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,237,0
22,1,5,238,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,197,0
22,1,5,238,0,0.0,1.0,13,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,141,0
1088,24,253,369,0,0.0,1.0,12,0,0,0,1,1,0,0,2,0,0,1,1,0,1,0,0,0,238,0
8298,172,264,4400,0,0.0,1.0,8,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,301,1
647,77,141,255,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,290,0
4664,856,1379,245,1,1.0,1.0,15,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,144,0
201,3,83,24,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,127,0
434,86,48,468,0,0.0,1.0,13,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,91,0
4230,13,191,323,0,0.4444444444444444,1.0,15,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,250,0
0,0,18,8,0,0.0,1.0,13,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,77,1
14181,64,180,2415,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,205,0
2574,9,35,243,0,0.0,1.0,9,0,0,0,1,1,1,0,2,0,0,1,1,1,0,1,0,0,262,1
489,184,666,540,1,1.0,1.0,9,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,101,0
84708,1366,437,3942,0,0.0,1.0,12,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,302,1
2911,143,173,2512,0,0.0,1.0,14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,107,0
599,28,88,279,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
53633,809,978,518,0,0.0,1.0,10,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,133,1
13234,705,586,1370,1,1.0,1.0,12,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,195,0
31660,51674,17944,582,0,0.0,1.0,14,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,289,1
269,318,12,3334,1,1.0,1.0,11,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,109,0
7121,612,1228,200,0,0.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,278,1
4475,115,314,192,0,0.0,1.0,12,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,75,1
599,28,88,279,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,283,0
4945,829,2080,1475,0,0.0,1.0,15,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,294,0
15757,3483,3672,5044,1,1.0,1.0,8,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,84,0
2535,745,746,118,0,0.75,1.0,11,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,122,0
296535,7471,7580,4972,0,0.0,1.0,7,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,173,1
229,6,17,3541,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,110,0
229,6,17,3541,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,110,0
617,135,347,290,1,1.0,1.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,198,0
229,6,17,3541,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,113,0
42096,29629,24674,993,0,0.5,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,329,0
229,6,17,3541,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,97,0
5307,3346,3447,1138,0,0.2,1.0,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,175,0
325260,69672,19308,4222,0,0.0,1.0,13,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,303,1
1854,31,456,353,0,0.0,1.0,7,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,54,0
4507,166,113,393,1,0.4827586206896552,1.0,15,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,296,0
19,2,95,115,0,0.0,1.0,15,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,273,0
38035,4832,4782,2995,0,0.0,1.0,13,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,296,1
10910,278,274,3347,0,0.0,1.0,14,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,242,0
1131,71,52,876,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
2263,334,1337,265,0,5.0,1.0,13,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,106,0
1838,18,30,2285,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
925,10,186,92,0,0.25,1.0,15,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,233,0
544,5,23,159,0,0.0,1.0,12,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,140,0
2488,845,3338,5128,0,2.0,1.0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,247,0
185,109,0,2241,0,0.0,1.0,7,0,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,74,0
1390,1028,1106,2217,0,0.0,1.0,12,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,83,0
2534,2200,3246,108,0,0.0,1.0,15,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,185,1
177,88,113,3227,0,0.0,1.0,6,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,76,0
1212,53,143,404,0,0.0,1.0,14,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,115,0
1131,71,52,876,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,304,0
2652,2192,3355,289,0,0.0,1.0,11,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,182,1
6952,141,336,1672,0,1.3333333333333333,1.0,15,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,39,0
46178,1069,1176,1150,0,0.0,1.0,12,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,305,1
8069,13,132,184,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,296,1
4507,166,113,393,0,0.4827586206896552,1.0,15,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,289,0
96966,19805,18416,976,0,0.3333333333333333,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,305,1
776,27,2,124,1,1.0,1.0,9,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
776,27,2,124,1,1.0,1.0,9,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,304,0
48445,1877,249,5054,1,1.0,1.0,8,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,142,0
1295,38,96,155,1,1.0,1.0,8,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,234,0
3696,7,41,994,0,0.0,1.0,7,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,273,0
89,83,93,2305,0,0.0,1.0,7,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,85,0
2871,984,1274,1195,0,0.0,1.0,7,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,199,0
330,22,264,200,1,1.0,1.0,7,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,112,0
133,121,135,3228,0,0.0,1.0,9,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,69,0
8323,568,474,1477,0,0.0,1.0,10,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,207,0
4377,97,467,128,0,0.0,1.0,13,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,123,1
262,2,2,4353,0,0.0,1.0,9,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,117,0
393,41,400,561,0,0.0,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,229,1
146,116,124,3229,0,0.0,1.0,8,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,79,0
14901,1301,1073,4942,0,0.0,1.0,10,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,190,1
206,1,24,561,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,100,0
130,1,1,166,1,1.0,1.0,12,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,199,0
1169,0,4,158,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,300,0
20753,2501,3695,738,0,0.0,1.0,11,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,195,1
29724,528,370,4839,2,2.0,1.0,14,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,153,0
22426,926,1511,540,0,0.0,1.0,14,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,271,1
1169,0,4,158,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,303,0
1417,30,111,85,0,0.0,1.0,15,0,0,0,1,1,1,0,2,0,0,1,1,0,0,1,1,0,301,1
6290,270,544,5022,0,0.0,1.0,11,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,223,0
184,258,272,61,0,0.0,1.0,8,0,0,0,1,1,1,0,2,0,0,1,0,0,1,0,0,0,108,0
96966,19805,18416,976,0,0.3333333333333333,1.0,15,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,305,1
2578,9,444,3737,0,0.0,1.0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,164,0
262,2,2,4353,0,0.0,1.0,9,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,106,0
298,3,19,27,0,0.0,1.0,13,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,83,0
4551,862,1815,2033,0,0.5,1.0,9,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,167,0
12234,4514,5000,2798,0,0.0,1.0,12,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,113,0
23937,1040,369,4345,0,0.0,1.0,9,0,0,0,1,1,1,0,2,0,0,0,1,0,1,0,0,0,290,0
3146,125,267,2402,0,0.2222222222222222,1.0,10,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,304,0
1105,38,1,4180,0,0.0,1.0,11,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,298,0
1509,11,3,151,0,0.0,1.0,13,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,298,0
1105,38,1,4180,0,0.0,1.0,11,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,304,0
153,118,57,4707,0,0.0,1.0,14,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,98,0
1509,11,3,151,0,0.0,1.0,13,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,304,0
178,99,115,3227,0,0.0,1.0,6,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,80,0
40763,3153,5000,192,0,0.0,1.0,8,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,311,1
181,84,110,3227,0,0.0,1.0,7,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,68,0
339,114,0,127,0,0.0,1.0,11,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,56,0
5806,336,632,4907,0,0.0,1.0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,111,0
4507,166,113,393,0,0.4827586206896552,1.0,15,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,307,0
1958,58,471,625,0,0.0,1.0,9,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,291,0
